Size,Building SF,Number Of Units,Number Of Floors,Price Per AC Land,Price Per SF Land,Asking Price,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Floor Area Ratio,Number Of Parking Spaces,Number Of Studios Units,Typical Floor (SF),Number Of 3 Bedrooms Units,Land Area AC,Land Area SF,Star Rating,Net Income,Year Built,Age,Sale Price
4302,4302.0,5.0,2.0,8323566.88,191.08,"1,638,000",2.0,2.0,0.55,8.0,0.0,2151.0,0.0,0.18,7850.0,2.0,129462.0,1964.0,59.0,1500000.0
6834,6834.0,6.0,2.0,8635242.29,198.24,"1,400,000",2.0,3.0,0.86,9.0,0.0,3417.0,0.0,0.18,7945.0,2.0,71400.0,1961.0,62.0,1575000.0
11593,11593.0,9.0,3.0,28801904.26,661.2,"5,250,000",0.0,8.0,1.53,9.0,1.0,3864.0,0.0,0.17,7562.0,2.0,214200.0,1966.0,57.0,5000000.0
5748,5748.0,6.0,2.0,21677056.04,497.64,"3,685,000",0.0,6.0,0.78,6.0,0.0,2874.0,0.0,0.17,7405.0,2.0,188631.0,1963.0,60.0,3685000.0
41824,41824.0,42.0,3.0,25412258.87,583.39,"13,600,000",0.0,0.0,1.86,51.0,42.0,13941.0,0.0,0.52,22499.0,2.0,428937.0,1962.0,61.0,13125000.0
5860,5860.0,9.0,2.0,6424213.08,147.48,"1,485,000",8.0,1.0,0.64,9.0,0.0,3735.0,0.0,0.21,9086.0,2.0,52042.0,1964.0,59.0,1340000.0
9648,9648.0,12.0,2.0,11888250.0,272.92,"3,500,000",4.0,8.0,0.8,8.0,0.0,4824.0,0.0,0.28,12000.0,2.0,147671.0,1964.0,59.0,3275000.0
6674,6674.0,8.0,2.0,10112142.86,232.14,"1,995,000",0.0,0.0,0.95,11.0,8.0,3337.0,0.0,0.16,7000.0,2.0,79625.0,1965.0,58.0,1625000.0
15293,15293.0,16.0,2.0,10857335.98,249.25,"6,500,000",11.0,3.0,0.65,21.0,0.0,7646.0,2.0,0.54,23671.0,2.0,211058.0,1962.0,61.0,5900000.0
6347,6347.0,8.0,2.0,20299271.05,466.01,"3,150,000",5.0,3.0,0.94,12.0,0.0,3173.0,0.0,0.15,6722.0,2.0,129059.0,1961.0,62.0,3132500.0
6282,6282.0,8.0,2.0,15311621.23,351.51,"2,650,000",0.0,0.0,0.9,8.0,8.0,3141.0,0.0,0.16,6970.0,2.0,66395.0,1963.0,60.0,2450000.0
7107,7107.0,6.0,2.0,15959352.97,366.38,"2,700,000",0.0,5.0,0.98,2.0,0.0,3554.0,1.0,0.17,7231.0,2.0,70200.0,1963.0,60.0,2650000.0
8070,8070.0,5.0,2.0,17482742.01,401.35,"2,500,000",0.0,0.0,1.3,10.0,5.0,3550.0,0.0,0.14,6229.0,2.0,102500.0,1964.0,59.0,2500000.0
6418,6418.0,8.0,2.0,10734428.57,246.43,"1,795,000",4.0,4.0,0.92,9.0,0.0,3960.0,0.0,0.16,7000.0,2.0,72159.0,1963.0,60.0,1725000.0
11490,11490.0,17.0,2.0,19418254.76,445.78,"4,400,000",0.0,0.0,1.28,14.0,17.0,5745.0,0.0,0.21,8973.0,2.0,191200.0,1964.0,59.0,4000000.0
10508,10508.0,12.0,2.0,12292136.98,282.19,"3,300,000",8.0,2.0,1.01,16.0,0.0,5254.0,2.0,0.24,10454.0,2.0,84370.0,1963.0,60.0,2950000.0
3439,3439.0,10.0,2.0,5506083.11,126.4,"800,000",3.0,1.0,0.54,4.0,0.0,1720.0,0.0,0.15,6329.0,2.0,77347.0,1961.0,62.0,800000.0
12040,12040.0,21.0,2.0,12284153.98,282.01,"4,725,000",17.0,3.0,0.72,21.0,1.0,6020.0,0.0,0.38,16755.0,2.0,237336.0,1962.0,61.0,4725000.0
3692,3692.0,5.0,2.0,8459347.49,194.2,"1,050,000",0.0,0.0,0.64,9.0,6.0,3692.0,0.0,0.13,5793.0,2.0,49148.0,1963.0,60.0,1125000.0
20562,20562.0,22.0,2.0,16477272.73,378.27,"7,250,000",6.0,10.0,1.07,31.0,0.0,10281.0,6.0,0.44,19166.0,2.0,296024.0,1969.0,54.0,7250000.0
15737,15737.0,18.0,2.0,11794871.8,270.78,"4,600,000",18.0,0.0,0.93,14.0,0.0,7869.0,0.0,0.39,16988.0,2.0,238913.0,1964.0,59.0,4600000.0
13054,13054.0,16.0,2.0,24030110.02,551.64,"4,150,000",0.0,16.0,1.74,8.0,0.0,6527.0,0.0,0.17,7523.0,2.0,223685.0,1964.0,59.0,4150000.0
12792,12792.0,12.0,2.0,7272727.27,166.96,"4,000,000",2.0,6.0,0.53,12.0,0.0,6396.0,4.0,0.55,23958.0,2.0,183600.0,1961.0,62.0,4000000.0
8182,8182.0,12.0,2.0,14267857.14,327.54,"3,995,000",4.0,7.0,0.67,14.0,0.0,4091.0,1.0,0.28,12197.0,2.0,173523.0,1963.0,60.0,3995000.0
11391,11391.0,16.0,2.0,15900000.0,365.01,"3,975,000",10.0,6.0,1.05,10.0,0.0,6600.0,0.0,0.25,10890.0,2.0,205836.0,1961.0,62.0,3975000.0
13641,13641.0,16.0,3.0,22478386.17,516.01,"3,900,000",0.0,16.0,1.8,8.0,0.0,4547.0,0.0,0.17,7558.0,2.0,216060.0,1964.0,59.0,3900000.0
