BuildingSF,SalePrice,YearBuilt,LandAreaSF,AvgUnitSF,Coverage,ImprovementRatio,MarketTime,NetIncome,NumberOf1BedroomsUnits,NumberOf2BedroomsUnits,NumberOf3BedroomsUnits,NumberOfOtherBedroomsUnits,NumberOfParkingSpaces,NumberOfStudiosUnits,ParkingRatio,UnitsPerAcre,LocationType,BuildingCondition,BuildingMaterials,PortfolioCounty,BusinessCenter,CommunityWideWiFi,CorporateSuites,DayCare,DisposalChutes,Elevator,EnergyStarLabeled,OnSiteRetail,PackageService,PetWashingStation,PropertyManageronSite,Sauna,Spa,StorageSpace,WiFi
8898,3800000,1939,6072,812,0.515623167899156,22.86,309,107160,6,1,0,0,10,0,0.71,50,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6474,2855000,1931,6194,812,0.459782584830533,16.66,24,108730,0,0,0,0,5,4,0.77,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2288,865000,1924,10890,500,0.21010101010101,37.72,95,106572,5,0,0,0,4,0,1.25,44,Suburban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
11664,4500000,1913,13504,533,0.43188483071181,56.76,95,106572,10,0,0,0,32,10,1.6,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3661,1715000,1941,5214,812,0.702089218836089,40,173,106572,1,1,0,0,5,4,1.37,49,Suburban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6120,2800000,1937,6120,812,0.384332506589102,23.15,88,106572,0,4,4,0,8,0,1.25,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6120,2800000,1937,6120,812,0.384332506589102,23.15,88,106572,0,4,4,0,8,0,1.25,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3980,2300000,1941,7051,812,0.447169726226611,30.02,96,77633,4,1,0,0,4,0,1,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4349,1750000,1925,5924,812,0.367140657916059,44,325.44,66810,0,0,0,0,8,14,0,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4798,1325000,1924,7500,328,0.319867221103183,33.33,200,66117,1,0,0,0,14,8,2.91,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3968,1154000,1939,5193,825,0.382052395481999,40,149,67425,5,0,0,0,8,0,0,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3100,950000,1925,10019,812,0.154709146804008,36.36,325.44,64050,1,0,1,0,2,2,0.65,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4914,1550000,1937,15991,812,0.307300237960697,23.71,87,106572,0,0,0,0,6,5,1.22,14,Urban,Adequate,Masonry,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4696,2265000,1927,7535,1174,0.178234690894198,36.86,325.44,106572,0,4,0,0,8,0,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2985,1450000,1928,5558,812,0.537038956104217,62.86,151,106572,0,1,0,0,9,6,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
7766,1380000,1941,7423,812,0.70446785395569,64.99,95,106572,0,0,0,0,8,5,1.25,44,Urban,Poor,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3488,1360000,1906,8228,1162,0.211959035027324,63.27,58,106572,1,2,0,0,3,0,0.86,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3816,1750000,1939,6970,812,0.273760330578512,33.33,112,106572,2,1,0,0,5,2,1.31,30,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2688,835000,1925,4792,812,0.280490859003256,45.45,325.44,106572,4,0,0,0,8,0,1.25,44,Suburban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2248,785000,1905,4835,812,0.232463868827505,41.61,95,106572,5,0,0,0,7,0,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9666,4380000,1937,25265,621,0.382587631803933,36.17,95,106572,12,0,0,0,20,12,2.07,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9312,4205000,1929,7009,812,0.664307348300794,44,95,237175,8,0,0,0,8,8,1.25,66.8800000000001,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6112,2525000,1940,6360,812,0.422814697409965,23.79,325.44,106572,0,0,0,0,4,4,0.65,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2636,780000,1941,5850,659,0.225298336535886,40.45,74,50856,4,0,0,0,4,0,1.52,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2874,1950000,1927,6220,580,0.409300542990383,16.22,50,106572,5,0,0,0,5,0,1.25,44,Urban,Good,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3328,1607500,1922,5258,812,0.316475557778661,26.67,77,50213,4,0,0,0,4,0,1.2,44,Urban,"",Reinforced Concrete,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1896,1590000,1927,2887,812,0.328420081155789,40.91,134,106572,0,0,0,0,3,4,1.58,44,Urban,"",Masonry,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4120,1042500,1900,11626,812,0.177186559556531,45.03,105,106572,4,0,0,0,10,1,2.43,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2500,1150000,1921,7311,812,0.341953479007339,33.68,95,106572,5,0,0,0,6,0,2.4,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3213,2500000,1922,6534,1400,0.245944291398837,20.67,27,106572,0,1,1,0,8,0,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3432,1240000,1910,6970,812,0.246212121212121,45.28,111,104000,4,0,0,0,8,0,1.25,44,Suburban,Good,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2524,1150000,1901,6098,812,0.206939525121343,25,66,79350,3,0,0,1,10,0,2.9888,44,Urban,Good,Masonry,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3096,850000,1935,5227,750,0.296143250688705,30,144,106572,4,0,0,0,4,0,1.29,44,Urban,Needs Improvement,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3434,2500000,1923,3751,675,0.457803672881278,67.04,140,106572,5,0,0,0,8,5,0,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4484,1975000,1939,6805,812,0.329441069869426,25.07,44,69973,2,2,0,0,8,0,1.25,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9090,1680000,1927,6055,812,0.750639158095012,72.27,95,106572,3,0,0,0,3,13,1.25,66.8800000000001,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4692,1385000,1937,9652,812,0.243058911947713,68.18,129,45497,6,1,0,0,4,0,0.85,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3688,2750000,1915,6970,812,0.264577594123049,30,95,125950,0,4,0,0,6,0,1.63,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3055,1075000,1940,10974,812,0.278385680168661,47.31,148,106572,2,3,0,0,10,0,2.9888,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6340,1950000,1929,6704,739,0.472860210588369,61.54,95,107748,3,4,0,0,4,1,1.25,44,Suburban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6397,1655000,1941,12197,812,0.461514495605405,85.07,112,106572,0,0,0,0,8,5,1.25,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4896,1400000,1928,6447,1224,0.379718561536743,56.46,95,106572,0,4,0,0,4,0,0.82,44,Suburban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2600,1060000,1938,5227,382,0.248699112335476,33.14,95,106572,1,0,0,0,8,6,1.54,44,Urban,"",Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5540,1830000,1930,11543,812,0.239963962090892,54.92,35,97125,0,0,0,0,2,8,0.36,30,Suburban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
